aqi,pm25,pm10,hour,day_of_week,month,hour_sin,hour_cos,day_sin,day_cos,aqi_pm25_ratio,aqi_pm10_ratio,lag_1h,lag_3h,lag_6h,lag_12h,lag_24h,rolling_mean_6h,rolling_std_6h,rolling_max_6h,rolling_mean_12h,rolling_std_12h,rolling_max_12h,rolling_mean_24h,rolling_std_24h,rolling_max_24h,rolling_mean_72h,rolling_std_72h,rolling_max_72h,target_24h
79.0,34.0,34.1,20,1,12,-0.8660254037844386,0.5000000000000001,0.7818314824680298,0.6234898018587336,2.257142857142857,2.2507122507122506,89.0,78.0,78.0,80.0,88.0,81.0,4.5607017003965495,89.0,79.58333333333333,3.423404295390322,89.0,81.47619047619048,3.802881113301434,89.0,81.47619047619048,3.802881113301434,89.0,89.0
79.0,37.8,38.0,21,1,12,-0.7071067811865477,0.7071067811865474,0.7818314824680298,0.6234898018587336,2.0360824742268044,2.0256410256410255,79.0,84.0,78.0,79.0,88.0,81.16666666666667,4.445971959725639,89.0,79.58333333333333,3.423404295390322,89.0,81.36363636363636,3.7485928095684184,89.0,81.36363636363636,3.7485928095684184,89.0,89.0
80.0,43.3,43.5,22,1,12,-0.5000000000000004,0.8660254037844384,0.7818314824680298,0.6234898018587336,1.8058690744920995,1.797752808988764,79.0,89.0,78.0,78.0,88.0,81.5,4.230839160261233,89.0,79.75,3.3878123807661895,89.0,81.30434782608695,3.6734277107689293,89.0,81.30434782608695,3.6734277107689293,89.0,89.0
82.0,47.6,47.8,23,1,12,-0.25881904510252157,0.9659258262890681,0.7818314824680298,0.6234898018587336,1.6872427983539093,1.6803278688524592,80.0,79.0,78.0,78.0,88.0,82.16666666666667,3.868677637987774,89.0,80.08333333333333,3.3967453227875004,89.0,81.33333333333333,3.595488316193512,89.0,81.33333333333333,3.595488316193512,89.0,89.0
84.0,46.4,46.7,0,2,12,0.0,1.0,0.9749279121818236,-0.22252093395631434,1.7721518987341773,1.761006289308176,82.0,79.0,84.0,78.0,88.0,82.16666666666667,3.868677637987774,89.0,80.58333333333333,3.5021638332824354,89.0,81.16666666666667,3.357880629033823,89.0,81.44,3.559962546619462,89.0,88.0
85.0,44.7,45.2,1,2,12,0.25881904510252074,0.9659258262890683,0.9749279121818236,-0.22252093395631434,1.859956236323851,1.8398268398268398,84.0,80.0,89.0,78.0,87.0,81.5,2.588435821108953,85.0,81.16666666666667,3.613946051147708,89.0,81.08333333333333,3.229169588591479,89.0,81.57692307692308,3.5572245014682644,89.0,87.0
87.0,40.4,40.9,2,2,12,0.49999999999999994,0.8660254037844387,0.9749279121818236,-0.22252093395631434,2.101449275362319,2.0763723150357998,85.0,82.0,79.0,78.0,86.0,82.83333333333333,3.060501048303479,87.0,81.91666666666667,3.8247598458972547,89.0,81.125,3.3010209224472944,89.0,81.77777777777777,3.6409353546046703,89.0,86.0
88.0,35.3,35.5,3,2,12,0.7071067811865475,0.7071067811865476,0.9749279121818236,-0.22252093395631434,2.4242424242424243,2.410958904109589,87.0,84.0,79.0,78.0,85.0,84.33333333333333,3.011090610836339,88.0,82.75,3.98006395563052,89.0,81.25,3.5046552891336082,89.0,82.0,3.7614024177357197,89.0,85.0
89.0,30.6,30.7,4,2,12,0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,2.8164556962025316,2.807570977917981,88.0,85.0,80.0,78.0,84.0,85.83333333333333,2.6394443859772516,89.0,83.66666666666667,4.052683360965012,89.0,81.45833333333333,3.8105022682360237,89.0,82.24137931034483,3.915675205538745,89.0,83.0
90.0,23.6,23.7,5,2,12,0.9659258262890683,0.25881904510252074,0.9749279121818236,-0.22252093395631434,3.6585365853658534,3.6437246963562755,89.0,87.0,82.0,78.0,83.0,87.16666666666667,2.316606713852587,90.0,84.66666666666667,4.007568597118006,90.0,81.75,4.183300132670377,90.0,82.5,4.100042051928998,90.0,82.0
90.0,23.3,23.4,6,2,12,1.0,6.123233995736766e-17,0.9749279121818236,-0.22252093395631434,3.7037037037037037,3.6885245901639347,90.0,88.0,84.0,84.0,82.0,88.16666666666667,1.9407902170680142,90.0,85.16666666666667,4.281744192888418,90.0,82.08333333333333,4.510053182629328,90.0,82.74193548387096,4.2502371850324066,90.0,82.0
90.0,28.9,29.0,7,2,12,0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,3.0100334448160537,3.0,90.0,89.0,85.0,89.0,81.0,89.0,1.2649110640674577,90.0,85.25,4.371914496377614,90.0,82.45833333333333,4.78202400905604,90.0,82.96875,4.373559670742851,90.0,82.0
90.0,41.7,41.9,8,2,12,0.8660254037844387,-0.4999999999999998,0.9749279121818236,-0.22252093395631434,2.1077283372365336,2.097902097902098,90.0,90.0,87.0,79.0,80.0,89.5,0.8366600265342475,90.0,86.16666666666667,4.086192567289279,90.0,82.875,4.989663228158268,90.0,83.18181818181819,4.475311060798904,90.0,82.0
91.0,39.9,40.0,9,2,12,0.7071067811865476,-0.7071067811865475,0.9749279121818236,-0.22252093395631434,2.2249388753056234,2.2195121951219514,90.0,90.0,88.0,79.0,79.0,90.0,0.6324555320339169,91.0,87.16666666666667,3.6139460511477757,91.0,83.375,5.182013206232229,91.0,83.41176470588235,4.606435860499776,91.0,82.0
91.0,28.8,28.8,10,2,12,0.49999999999999994,-0.8660254037844387,0.9749279121818236,-0.22252093395631434,3.053691275167785,3.053691275167785,91.0,90.0,89.0,80.0,78.0,90.33333333333333,0.5163977794946251,91.0,88.08333333333333,2.9682665076786288,91.0,83.91666666666667,5.274356887783586,91.0,83.62857142857143,4.715966087076294,91.0,83.0
90.0,21.8,21.9,11,2,12,0.258819045102521,-0.9659258262890682,0.9749279121818236,-0.22252093395631434,3.9473684210526314,3.9301310043668125,91.0,90.0,90.0,82.0,78.0,90.33333333333333,0.5163977794946251,91.0,88.75,2.301185465245085,91.0,84.41666666666667,5.257844381134906,91.0,83.80555555555556,4.767865317156052,91.0,83.0
89.0,20.9,21.0,12,2,12,1.2246467991473532e-16,-1.0,0.9749279121818236,-0.22252093395631434,4.06392694063927,4.045454545454546,90.0,91.0,90.0,84.0,78.0,90.16666666666667,0.7527726527092863,91.0,89.16666666666667,1.7494587907712469,91.0,84.875,5.1525637350234,91.0,83.94594594594595,4.778109493338367,91.0,83.0
89.0,18.6,18.7,13,2,12,-0.2588190451025208,-0.9659258262890683,0.9749279121818236,-0.22252093395631434,4.540816326530612,4.517766497461929,89.0,91.0,90.0,85.0,78.0,90.0,0.8944271910000859,91.0,89.5,1.1677484162426142,91.0,85.33333333333333,5.001449065383274,91.0,84.07894736842105,4.783878212696442,91.0,82.0
89.0,17.9,18.0,14,2,12,-0.4999999999999997,-0.8660254037844388,0.9749279121818236,-0.22252093395631434,4.70899470899471,4.684210526315789,89.0,90.0,90.0,87.0,78.0,89.83333333333333,0.9831920802503266,91.0,89.66666666666667,0.8876253645990398,91.0,85.79166666666667,4.800173607971561,91.0,84.2051282051282,4.785831540679465,91.0,82.0
89.0,17.9,18.0,15,2,12,-0.7071067811865471,-0.7071067811865479,0.9749279121818236,-0.22252093395631434,4.70899470899471,4.684210526315789,89.0,89.0,91.0,88.0,78.0,89.5,0.8366600265342455,91.0,89.75,0.7537783614449415,91.0,86.25,4.5420738416068,91.0,84.325,4.784523661417776,91.0,82.0
89.0,17.3,17.4,16,2,12,-0.8660254037844384,-0.5000000000000004,0.9749279121818236,-0.22252093395631434,4.863387978142076,4.836956521739131,89.0,89.0,91.0,89.0,78.0,89.16666666666667,0.4082482904641999,90.0,89.75,0.7537783614449415,91.0,86.70833333333333,4.216728246099022,91.0,84.4390243902439,4.780422473421166,91.0,82.0
89.0,14.6,14.8,17,2,12,-0.9659258262890683,-0.25881904510252063,0.9749279121818236,-0.22252093395631434,5.705128205128205,5.632911392405063,89.0,89.0,90.0,90.0,78.0,89.0,0.0,89.0,89.66666666666667,0.7784989441620302,91.0,87.16666666666667,3.806934938134413,91.0,84.54761904761905,4.77392501475018,91.0,82.0
91.0,22.8,22.9,18,2,12,-1.0,-1.8369701987210297e-16,0.9749279121818236,-0.22252093395631434,3.8235294117647056,3.8075313807531384,89.0,89.0,89.0,90.0,84.0,89.33333333333333,0.8164965809278993,91.0,89.75,0.8660254037849008,91.0,87.45833333333333,3.821895348903614,91.0,84.69767441860465,4.818292938775486,91.0,82.0
95.0,29.5,29.7,19,2,12,-0.9659258262890684,0.2588190451025203,0.9749279121818236,-0.22252093395631434,3.1147540983606556,3.0944625407166124,91.0,89.0,89.0,90.0,89.0,90.33333333333333,2.422120283278061,95.0,90.16666666666667,1.7494587907712826,95.0,87.70833333333333,4.112326821163177,95.0,84.93181818181819,5.008818861246422,95.0,82.0
89.0,34.0,34.6,20,2,12,-0.8660254037844386,0.5000000000000001,0.9749279121818236,-0.22252093395631434,2.5428571428571427,2.5,95.0,89.0,89.0,90.0,79.0,90.33333333333333,2.422120283278061,95.0,90.08333333333333,1.7816403745546605,95.0,88.125,3.6749741199916994,95.0,85.02222222222223,4.988572800497,95.0,81.0
89.0,37.5,38.6,21,2,12,-0.7071067811865477,0.7071067811865474,0.9749279121818236,-0.22252093395631434,2.311688311688312,2.2474747474747474,89.0,91.0,89.0,91.0,79.0,90.33333333333333,2.422120283278061,95.0,89.91666666666667,1.7816403745546538,95.0,88.54166666666667,3.120467727854236,95.0,85.1086956521739,4.9675760280244114,95.0,80.0
89.0,39.0,40.4,22,2,12,-0.5000000000000004,0.8660254037844384,0.9749279121818236,-0.22252093395631434,2.225,2.1497584541062804,89.0,95.0,89.0,91.0,80.0,90.33333333333333,2.422120283278061,95.0,89.75,1.764549903980378,95.0,88.91666666666667,2.5352586124267726,95.0,85.19148936170212,4.945961452549105,95.0,79.0
